Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: 70+ years (Number),Prevalence - Neoplasms - Sex: Both - Age: 50-69 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 15-49 years (Number),Prevalence - Neoplasms - Sex: Both - Age: 5-14 years (Number),Prevalence - Neoplasms - Sex: Both - Age: Under 5 (Number)
"Central Europe, Eastern Europe, and Central Asia",,2015,1750506.718,3805088.045,1964478.046,195828.2504,167167.5316
Central Latin America,,2015,466957.1494,804529.4508,527230.6049,29274.60727,48327.73963
Central Sub-Saharan Africa,,2015,26824.13516,91008.30549,100287.0584,5661.204103,22433.99889
Chad,TCD,2015,4074.122005,8132.672838,8786.732263,790.3465932,3877.76449
Chile,CHL,2015,66160.92796,95738.85146,64292.69188,2323.260179,2844.067414
China,CHN,2015,3492960.01,8366985.826,5730071.948,1019930.522,1440855.613
Colombia,COL,2015,110518.9239,175980.9854,99125.53752,5752.855805,9690.196586
Comoros,COM,2015,390.1033463,980.9403449,1016.225182,43.75104725,116.5875536
Congo,COG,2015,1762.46222,5524.941841,7459.093484,209.7644714,700.165481
Costa Rica,CRI,2015,16812.11518,24728.75755,12893.47584,508.5385536,815.7069884
Cote d'Ivoire,CIV,2015,7231.44489,16842.20876,14193.13476,1277.782728,3452.847769
Croatia,HRV,2015,47906.92973,66827.90915,25366.57137,2131.989563,1775.178472
Cuba,CUB,2015,73430.49612,97048.68717,33761.99108,1093.719846,1731.530952
Cyprus,CYP,2015,9386.420175,12802.29069,5739.268937,338.7323756,183.9587413
Czechia,CZE,2015,103486.6925,152077.4913,62234.54838,4835.403689,3886.546246
Democratic Republic of Congo,COD,2015,17290.8077,58087.16687,60737.28195,3734.960579,14682.66818
Denmark,DNK,2015,79493.46713,99470.11652,29548.6938,1988.974971,1530.668714
Djibouti,DJI,2015,355.4125353,1290.524139,1436.411555,59.29761298,215.52072
Dominica,DMA,2015,387.6802026,395.2498456,207.0654753,6.911006602,9.833342952
Dominican Republic,DOM,2015,16830.49825,26107.82114,18310.8803,535.1161085,1194.566217
East Asia,,2015,3746455.688,8950024.039,6162859.939,1058507.01,1485504.2
Eastern Europe,,2015,909867.4482,2197882.497,1188919.641,136172.8835,109006.5455
Eastern Sub-Saharan Africa,,2015,105762.4628,283657.7024,334047.6298,25102.17502,107551.6838
Ecuador,ECU,2015,26210.26338,36602.75058,26409.74408,1373.730007,2548.005806
Egypt,EGY,2015,33360.14096,142859.058,157727.1737,15775.36981,16272.08812
El Salvador,SLV,2015,10745.41047,16888.31249,12666.38395,643.06966,616.8068115
England,,2015,849726.5587,834748.6851,390937.6713,29063.41483,22310.55404
Equatorial Guinea,GNQ,2015,350.1372725,974.3313977,1196.595874,62.02033814,144.9296439
Eritrea,ERI,2015,1424.257605,6643.288916,7930.557873,456.2771148,1917.815794
Estonia,EST,2015,14110.10952,17379.09072,6902.856513,1147.6371,913.1276643
Eswatini,SWZ,2015,517.3054741,1519.651813,1330.854015,65.07177506,69.83242903
Ethiopia,ETH,2015,26499.93891,62136.13835,78501.89982,5153.68048,21041.55323
Fiji,FJI,2015,728.4849825,2384.213361,2239.108363,75.87771172,111.6088356
Finland,FIN,2015,76470.88818,91954.82444,25845.31161,2670.056486,1479.781745
France,FRA,2015,723852.384,892130.5292,326149.2,18721.8542,19650.44574
Gabon,GAB,2015,875.7993598,2199.246136,1901.143889,67.43166473,181.8827069
Gambia,GMB,2015,608.6949994,1250.160684,1360.542267,97.91920166,305.6286593
Georgia,GEO,2015,11097.90705,26468.52675,11696.39984,563.7980929,724.7818192
Germany,DEU,2015,1324545.605,1334367.55,431115.8512,16166.84327,19439.35694
Ghana,GHA,2015,11476.56444,29709.48172,33644.61213,1418.264185,3925.448065
Greece,GRC,2015,122757.7831,124938.7166,53961.19975,2320.298128,2215.025452
Greenland,GRL,2015,371.7833552,1005.075064,699.0180499,40.78425808,11.05279463
Grenada,GRD,2015,515.5466564,562.7415024,280.5635838,5.415518614,7.833224784
Guam,GUM,2015,315.9397273,820.9624378,527.7023093,23.11372391,40.06737341
Guatemala,GTM,2015,13375.0441,21369.28223,20451.78394,1624.970432,2803.508262
Guinea,GIN,2015,4648.290992,10833.0412,12194.44952,572.23408,2433.498238
Guinea-Bissau,GNB,2015,463.630503,1394.847051,1750.713041,85.55900303,383.2184793
Guyana,GUY,2015,717.4515941,1853.453918,1451.035391,47.69505543,59.59414854
Haiti,HTI,2015,7588.064511,17913.43874,17994.20328,920.7509663,2563.833091
High SDI,,2015,17028546.91,21873546.16,10319801.27,743915.9556,499648.4693
High-income,,2015,16573303.7,20845307.11,9742166.081,679466.3154,379937.628
High-income Asia Pacific,,2015,2794651.773,2658915.127,1510294.17,186422.698,118484.7385
High-middle SDI,,2015,3954538.618,8948786.08,5765976.305,894951.9893,1124564.059
Honduras,HND,2015,7004.388121,13258.82923,11304.98528,1099.372878,1839.214008
Hungary,HUN,2015,76406.00409,130401.3963,50864.1366,3081.872774,2707.262722
Iceland,ISL,2015,3269.208837,4536.937037,1915.137604,219.6815194,181.4017135
India,IND,2015,577938.6128,1518299.383,1064969.048,8764.737333,47625.46249
Indonesia,IDN,2015,140882.0538,388790.9468,380877.8593,11961.40091,19244.72052
Iran,IRN,2015,114130.97,224756.4577,199950.3187,24496.06663,25503.70243
Iraq,IRQ,2015,13808.84164,38107.15565,48999.94899,8776.631031,5844.738633
Ireland,IRL,2015,42994.67211,59238.32951,28756.49474,2129.453805,1743.42315
Israel,ISR,2015,41535.6696,57503.96901,29520.19494,2269.876125,2454.827681
Italy,ITA,2015,931576.8316,972639.8036,371337.6573,19119.61674,13779.25086
Jamaica,JAM,2015,7869.475336,13462.53101,7210.291032,120.4654099,210.8042656
Japan,JPN,2015,2420831.979,2049587.523,1037887.311,144378.8178,90199.75069
Jordan,JOR,2015,7012.896277,15917.00308,15465.2005,2003.319511,1992.340897
Kazakhstan,KAZ,2015,19362.08531,62368.65407,41974.16465,3540.018149,6097.25592
Kenya,KEN,2015,12154.33338,35977.49659,36574.35431,2513.79171,4434.40804
Kiribati,KIR,2015,53.52274447,193.7519016,282.8027132,10.72316149,18.73335693
Kuwait,KWT,2015,2362.442516,6444.751699,8892.251423,861.2056547,730.6179094
Kyrgyzstan,KGZ,2015,3269.566359,11261.91441,10911.47679,1510.618029,1613.345645
Laos,LAO,2015,2550.260754,7470.666773,7369.291412,348.8340693,1101.323188
Latin America and Caribbean,,2015,1111115.86,1900441.959,1159917.544,45680.16659,83844.17584
Latvia,LVA,2015,18121.0028,23636.34635,7663.824876,933.6017972,775.2291902
Lebanon,LBN,2015,22458.40723,41931.78895,56532.09718,8361.593066,4254.302532
Lesotho,LSO,2015,1234.624275,3174.434745,2307.574896,101.4057289,103.6126858
Liberia,LBR,2015,1399.594101,2932.977739,3591.822345,217.720678,748.7062073
Libya,LBY,2015,7221.294263,16700.95307,24934.96919,2513.414061,2064.875402
Lithuania,LTU,2015,26876.43486,36841.44627,14767.37163,1368.101604,1226.123847
Low SDI,,2015,386924.8739,997343.0872,950418.8871,50816.6577,195252.5822
